gene,FC,neg_log_10_padj,padj
Il4ra,8.605,6.815,1.53E-07
H2-DMa,18.289,6.704,1.98E-07
Ppp3cc,5.067,6.13,7.41E-07
Dusp10,8.098,5.909,1.23E-06
Slc17a9,2.074,5.539,2.89E-06
Bysl,2.48,5.467,3.41E-06
Ncoa3,3.521,5.319,4.80E-06
Nop56,2.258,5.152,7.05E-06
Mthfd2,2.025,4.987,1.03E-05
P2ry10,7.26,4.85,1.41E-05
Lyst,5.257,4.809,1.55E-05
Gm50335,3.477,4.663,2.17E-05
Rasa2,1.454,4.646,2.26E-05
Tmie,3.194,4.593,2.55E-05
Gnl3,2.781,4.52,3.02E-05
Plp2,2.07,4.52,3.02E-05
Arid5a,3.965,4.439,3.64E-05
Gbp6,2.594,4.438,3.65E-05
Nrros,2.337,4.403,3.95E-05
Spsb1,4.486,4.369,4.28E-05
Cd3eap,2.866,4.333,4.65E-05
Mbd2,3.035,4.246,5.68E-05
Elf1,1.932,4.233,5.85E-05
Pusl1,2.184,4.227,5.93E-05
Eef1aknmt,2.5,4.19,6.46E-05
Prpf31,2.289,4.182,6.58E-05
Cish,7.544,4.177,6.65E-05
Cnr2,6.137,4.159,6.93E-05
Als2cl,2.22,4.156,6.98E-05
Cd83,12.562,4.153,7.03E-05
Itga6,2.132,4.129,7.43E-05
Dimt1,2.112,4.129,7.43E-05
Tank,2.542,4.111,7.74E-05
Trib2,2.067,4.072,8.47E-05
Fnip1,3.021,4.046,8.99E-05
Cad,1.95,4.038,9.16E-05
Zrsr1,2.273,4.025,9.44E-05
Zfp1,2.376,3.982,0.000104232
Glipr2,8.56,3.917,0.00012106
Nhp2,1.584,3.915,0.000121619
Dapp1,2.31,3.894,0.000127644
Rgs1,13.455,3.888,0.00012942
Smad5,1.944,3.814,0.000153462
Ap3m1,1.988,3.806,0.000156315
Mapkapk3,2.078,3.795,0.000160325
Aimp2,1.598,3.791,0.000161808
Eif1a,2.157,3.79,0.000162181
Tmtc4,3.857,3.783,0.000164816
Sec11c,1.844,3.759,0.000174181
Fam240a,10.757,3.75,0.000177828
Gm17169,2.121,3.723,0.000189234
Ak2,1.68,3.715,0.000192752
Mcm2,2.123,3.714,0.000193197
D16Ertd472e,2.572,3.674,0.000211836
Wdr43,1.947,3.669,0.000214289
Bcl2,5.114,3.654,0.00022182
Aopep,1.941,3.639,0.000229615
Alkbh1,1.52,3.635,0.000231739
Hspa9,1.771,3.576,0.000265461
Bcl2l1,3.274,3.571,0.000268534
Nifk,1.847,3.564,0.000272898
Slc37a3,2.491,3.53,0.000295121
Frmd6,5.527,3.519,0.000302691
Tspan9,5.532,3.518,0.000303389
Gm19951,4.854,3.516,0.000304789
Thada,0.647,3.467,0.000341193
Shmt1,1.921,3.461,0.000345939
C1qbp,1.805,3.445,0.000358922
Tgtp1,3.322,3.434,0.000368129
Dpp4,2.168,3.42,0.000380189
Nsmce1,2.161,3.414,0.000385478
Nabp1,2.118,3.408,0.000390841
Ints6l,2.331,3.401,0.000397192
Pes1,1.602,3.393,0.000404576
Amd1,1.815,3.389,0.000408319
Nop58,1.761,3.378,0.000418794
AI504432,1.841,3.371,0.000425598
Cdk6,5.387,3.367,0.000429536
Gm10130,2.498,3.363,0.000433511
Tuba4a,2.461,3.347,0.00044978
Socs5,0.368,3.337,0.000460257
Nat10,1.987,3.331,0.000466659
Tspan14,1.847,3.33,0.000467735
Snhg16,2.076,3.327,0.000470977
Pus1,1.737,3.316,0.000483059
Suz12,2.674,3.302,0.000498884
Rrp12,1.873,3.301,0.000500035
Stat2,2.467,3.298,0.000503501
Sh3bp5,5.117,3.295,0.000506991
Oxct1,1.992,3.272,0.000534564
Inpp4b,1.955,3.267,0.000540754
Slc7a1,2.067,3.252,0.000559758
St8sia1,0.326,3.213,0.00061235
Ncoa7,4.871,3.21,0.000616595
Slc39a6,3.783,3.21,0.000616595
Il21r,1.785,3.198,0.00063387
Znhit6,1.984,3.18,0.000660693
Wdr4,1.884,3.163,0.000687068
Shmt2,1.868,3.15,0.000707946
Dph1,1.655,3.146,0.000714496
AW112010,1.994,3.141,0.00072277
Nop16,1.733,3.116,0.000765597
Nt5e,3.494,3.11,0.000776247
Tube1,3.382,3.109,0.000778037
Nop2,1.768,3.076,0.00083946
Rpf2,2.096,3.073,0.000845279
Ndufaf4,1.756,3.067,0.000857038
Calhm6,2.773,3.045,0.000901571
Stat3,1.8,3.042,0.000907821
Trat1,2.378,3.025,0.000944061
Eef1e1,1.868,3.023,0.000948418
Wdr5,1.474,3.02,0.000954993
Xbp1,3.785,3.017,0.000961612
Irf7,2.31,3.012,0.000972747
Ctps,2.031,2.981,0.00104472
Gm17590,13.67,2.966,0.001081434
Ntmt1,1.528,2.966,0.001081434
Jaml,8.966,2.952,0.001116863
Cdca7,5.313,2.941,0.001145513
Sinhcaf,2.421,2.882,0.0013122
Rsl1d1,1.512,2.877,0.001327394
Rcl1,1.877,2.874,0.001336596
Bmp2k,2.933,2.862,0.001374042
4930594M22Rik,3.374,2.841,0.001442115
Polr1b,2.442,2.84,0.00144544
Cinp,2.734,2.838,0.001452112
Parp9,1.763,2.835,0.001462177
Ppif,1.489,2.818,0.001520548
Mgat4a,3.237,2.812,0.0015417
Nme1,1.4,2.808,0.001555966
Noc4l,1.75,2.787,0.001633052
Pim1,2.55,2.779,0.001663413
4930453N24Rik,2.099,2.762,0.001729816
Myc,4.23,2.761,0.001733804
Gm37169,2.503,2.761,0.001733804
Sft2d2,5.878,2.75,0.001778279
Nolc1,1.697,2.735,0.001840772
Pus7,2.058,2.733,0.001849269
Snhg15,2.652,2.726,0.001879317
Dok2,1.428,2.717,0.001918669
Timm10,1.719,2.714,0.001931968
Eif4a3,1.514,2.714,0.001931968
Gtpbp4,1.423,2.7,0.001995262
Gemin5,1.961,2.7,0.001995262
Ptpn2,1.818,2.687,0.002055891
Tsr1,1.752,2.679,0.002094112
H2-DMb2,28.576,2.668,0.00214783
Cd274,1.647,2.664,0.002167704
Rnf19b,2.191,2.659,0.002192805
