gene,FC,neg_log_10_padj,padj
N4bp2l1,0.801,1.603,0.024945947
Rassf3,0.462,1.611,0.024490632
Acadm,0.591,1.612,0.024434306
Rnf144a,0.552,1.624,0.023768403
Dcaf12,0.777,1.663,0.021727012
Tfdp2,0.618,1.719,0.019098533
Arl5c,0.638,1.739,0.018238957
Casp2,0.757,1.75,0.017782794
Zdhhc9,0.725,1.811,0.015452544
Nedd9,0.686,1.876,0.013304544
Stk10,0.701,1.914,0.012189896
Smarcc1,1.359,1.922,0.011967405
Map2k6,0.387,1.977,0.010543869
Ttll12,0.557,2.057,0.008770008
Arhgap29,0.579,2.108,0.007798301
H2-K2,0.633,2.162,0.006886523
Sema4d,1.715,2.172,0.006729767
Amer1,0.586,2.315,0.004841724
Rai1,0.546,2.362,0.004345102
Gm48334,0.405,3.011,0.00097499
Acaa2,0.506,3.04,0.000912011
Peak1,0.402,3.086,0.000820352
Ephx1,0.521,3.17,0.000676083
Inpp4a,0.539,3.185,0.000653131
Tsc22d3,1.727,3.195,0.000638263
Dck,0.498,3.21,0.000616595
Pdlim4,0.502,3.283,0.000521195
Trdv2-2,0.428,3.429,0.000372392
Sidt1,0.471,3.453,0.000352371
Ckb,0.4,3.562,0.000274157
A630023P12Rik,0.368,3.585,0.000260016
Cdc42ep4,0.2,3.681,0.000208449
Selenop,0.617,3.687,0.000205589
Rgs11,0.491,3.701,0.000199067
Pdcd4,0.545,3.967,0.000107895
Pgpep1,0.212,4.175,6.68E-05
Cd5,0.531,4.311,4.89E-05
Acss2,0.545,6.398,4.00E-07
