gene,FC,neg_log_10_padj,padj
Baz1a,1.289,0.865,0.136458314
Tlr2,1.705,0.861,0.137720947
Cytip,1.219,0.859,0.138356638
Ms4a6d,1.646,0.852,0.140604752
Itga2b,0.286,0.849,0.141579378
Tmem39a,0.783,0.839,0.144877185
Ap2a2,0.832,0.83,0.147910839
Birc2,1.324,0.825,0.149623566
4933412E12Rik,1.495,0.823,0.150314197
Cers6,0.683,0.821,0.151008015
Tma16,0.754,0.815,0.153108746
Rtn4ip1,1.34,0.809,0.155238701
Prkx,0.751,0.806,0.156314764
Clcn5,1.488,0.789,0.162554876
Rpe,1.277,0.785,0.164058977
Orc2,1.142,0.784,0.164437172
Sp140,1.255,0.776,0.167494288
Bysl,1.303,0.775,0.167880402
Morrbid,1.452,0.773,0.168655303
Phf11c,1.246,0.766,0.171395731
Xdh,0.561,0.764,0.172186857
Yif1b,1.125,0.76,0.173780083
Tnfrsf11a,1.534,0.754,0.176197605
Mt2,0.744,0.75,0.177827941
Ccdc86,1.329,0.747,0.179060585
B4galt6,0.707,0.746,0.179473363
Rcl1,1.4,0.746,0.179473363
Ifi204,0.532,0.744,0.180301774
Usp10,1.15,0.739,0.18238957
Ran,1.119,0.737,0.183231442
Kpna2,1.244,0.729,0.186637969
Dram1,0.656,0.723,0.189234362
mt-Nd1,1.088,0.722,0.189670592
Kcnb1,0.492,0.722,0.189670592
Ext1,1.159,0.72,0.190546072
Pde4c,0.264,0.72,0.190546072
Acsf3,1.177,0.715,0.192752491
Mtap,1.209,0.715,0.192752491
Ncoa4,1.173,0.709,0.195433946
Cd300lf,0.444,0.704,0.197696964
Adora2b,0.609,0.698,0.200447203
Aprt,1.135,0.69,0.204173794
Ica1,0.525,0.687,0.20558906
Chil1,1.801,0.684,0.207014135
mt-Nd5,1.156,0.684,0.207014135
Pum3,1.21,0.681,0.208449088
Ttll4,1.261,0.677,0.210377844
Il13ra1,0.532,0.661,0.218272991
Armcx3,1.481,0.66,0.218776162
Gm45743,2.345,0.656,0.220800473
Tgm2,7.341,0.653,0.222330989
Fam114a1,1.784,0.65,0.223872114
Scimp,2.063,0.641,0.22855988
Dhrs13,0.801,0.639,0.229614865
Metap2,1.087,0.633,0.232809126
Ccl2,0.55,0.63,0.234422882
Kcnk13,0.447,0.628,0.235504928
Slc31a2,1.274,0.623,0.238231947
Czib,1.11,0.622,0.238781128
Tasor2,1.253,0.619,0.24043628
Naa25,1.176,0.618,0.240990543
Gm15987,0.432,0.615,0.24266101
Zfp872,0.274,0.598,0.252348077
Gm807,2.448,0.592,0.255858589
Gfpt2,0.516,0.586,0.259417936
Cnot7,1.082,0.585,0.260015956
Gm45223,1.285,0.585,0.260015956
Prdx5,0.841,0.582,0.261818301
Ms4a4b,0.938,0.579,0.263633139
Ifi207,0.494,0.57,0.26915348
Gda,0.264,0.568,0.270395836
Angptl2,0.442,0.559,0.276057786
Lbp,0.543,0.558,0.276694165
Muc4,0.538,0.551,0.281190083
Trip11,1.123,0.545,0.285101827
Scamp1,1.753,0.544,0.285759054
Anxa7,1.1,0.543,0.286417797
Brd3,0.841,0.543,0.286417797
Ctps,1.182,0.537,0.290402265
Pik3r5,0.905,0.537,0.290402265
Thbs1,1.925,0.533,0.293089325
Il6st,1.262,0.529,0.295801247
Ifi47,1.106,0.527,0.297166603
Dgat1,0.91,0.52,0.301995172
Odc1,1.401,0.517,0.304088503
Larp1,1.163,0.514,0.306196343
Snx10,1.429,0.501,0.315500462
Lims1,0.862,0.498,0.317687407
Pard6g,0.503,0.496,0.319153786
Litaf,1.256,0.493,0.321366054
Cep55,0.538,0.492,0.322106879
Prelid3b,1.123,0.478,0.332659553
C5ar2,1.292,0.475,0.334965439
Pdzd2,0.505,0.475,0.334965439
Manf,1.101,0.473,0.336511569
Socs1,1.239,0.461,0.345939378
Slc52a3,0.558,0.46,0.34673685
Qsox1,0.887,0.456,0.349945167
P2rx1,0.602,0.455,0.350751874
Wdtc1,0.719,0.441,0.362242998
Per1,1.132,0.438,0.364753947
Tinagl1,0.277,0.435,0.3672823
Vav1,1.067,0.433,0.368977599
Ifitm1,0.855,0.427,0.374110588
Gm10384,0.855,0.427,0.374110588
Arntl2,0.458,0.427,0.374110588
Kcnj1,0.852,0.427,0.374110588
Asb4,0.425,0.427,0.374110588
Gpr31a,0.855,0.427,0.374110588
Ocstamp,0.589,0.427,0.374110588
Fpr2,0.852,0.427,0.374110588
Cdk20,0.8,0.407,0.391741877
E030024N20Rik,1.522,0.406,0.392644935
Tkt,1.12,0.404,0.394457302
Trav16,1.149,0.403,0.39536662
Bcl2l1,0.899,0.4,0.398107171
Cd82,1.055,0.391,0.406443329
Ncf4,0.821,0.39,0.407380278
Rhoh,1.054,0.389,0.408319386
Tgm1,0.587,0.388,0.40926066
Soat2,0.587,0.388,0.40926066
Prok2,1.268,0.374,0.422668614
P2ry13,1.268,0.374,0.422668614
S100a8,3.148,0.374,0.422668614
S100a9,2.074,0.374,0.422668614
Dthd1,1.792,0.374,0.422668614
E430024P14Rik,0.66,0.373,0.423642966
Hivep3,0.669,0.37,0.426579519
Cipc,1.238,0.368,0.42854852
Itga5,1.07,0.366,0.43052661
Cyp4f16,1.166,0.365,0.431519077
Tub,1.252,0.36,0.436515832
Ncapd2,0.857,0.354,0.442588372
Rcan1,0.573,0.345,0.451855944
Atp6v0a1,0.485,0.343,0.453941617
Clint1,1.128,0.342,0.45498806
Rnf24,1.425,0.337,0.460256574
Lcn2,1.866,0.335,0.462381021
Nedd4,0.538,0.334,0.46344692
Gm45345,0.738,0.332,0.465586094
Cd40,1.473,0.331,0.46665938
Hck,1.348,0.331,0.46665938
Rps6ka3,0.876,0.33,0.467735141
Gja1,1.207,0.327,0.470977326
Smim5,1.412,0.322,0.476430987
Arap2,1.093,0.319,0.479733449
St3gal1,0.923,0.319,0.479733449
Csf2rb,0.657,0.317,0.481947798
Cep85l,1.146,0.313,0.486407206
