ensembl_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,treatment,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,gene_ref,treatment_ref,significance
ENSMUSG00000090272,431.1801101720569,-3.501610940161435,0.12999629291565454,3.368316318655901e-161,3.710200424999475e-157,Mndal,virus,431.1801101720569,-1.898341116384968,0.10771139693667242,1.569771761275768e-70,5.763678650150862e-67,Mndal,recombinant,both
ENSMUSG00000036256,681.2919015931288,-2.4705600851587906,0.09424550813451117,1.7262090776689034e-152,9.507096495261485e-149,Igfbp7,virus,681.2919015931288,-2.231532677313049,0.09921364624723279,5.651816130379664e-113,6.2254754676132e-109,Igfbp7,recombinant,both
ENSMUSG00000056290,1415.1930578322338,-2.243657767009032,0.09746857305434098,3.6672687821665997e-118,1.3464988545188365e-114,Ms4a4b,virus,1415.1930578322338,-1.1600829535642108,0.09414879869279325,2.3573775023059125e-36,1.9974240913768943e-33,Ms4a4b,recombinant,both
ENSMUSG00000026989,857.6667761603752,-2.2807423668278943,0.10001618199800344,4.971330273909876e-116,1.368980074177932e-112,Dapl1,virus,857.6667761603752,-1.292269960236545,0.09515519011882416,1.7096348511835542e-43,1.883162788578685e-40,Dapl1,recombinant,both
ENSMUSG00000018819,702.926719843129,-2.2090537846245826,0.10086935707574046,3.27648782368225e-107,7.218102675571997e-104,Lsp1,virus,702.926719843129,-1.4177372332737375,0.09742042163723634,1.933426300581933e-49,3.549448450151665e-46,Lsp1,recombinant,both
ENSMUSG00000028341,390.22438717022624,-2.9425888477752196,0.14301542945665033,2.4233048227761276e-95,4.4487837704798405e-92,Nr4a3,virus,390.22438717022624,-1.547463943274077,0.13116251562973508,1.6726798241864445e-33,8.773603934958898e-31,Nr4a3,recombinant,both
ENSMUSG00000028420,632.8718637871316,-1.8520086112611829,0.0916084119853741,8.304774869094689e-92,1.3068156454725428e-88,Tmem38b,virus,632.8718637871316,-0.9504518364129682,0.0905779629513237,2.2748207794468117e-27,8.082951898582784e-25,Tmem38b,recombinant,both
ENSMUSG00000024610,258.12061720535115,-2.835734850834252,0.14459460750683048,7.303262861053199e-87,1.0055680051812624e-83,Cd74,virus,258.12061720535115,-1.6526960208510304,0.13520651193782737,1.2420209732519283e-35,8.047565306099995e-33,Cd74,recombinant,both
ENSMUSG00000043008,263.7934581088027,2.233565103843789,0.1139911548163888,2.1312167825709892e-86,2.6083725400021608e-83,Klhl6,virus,263.7934581088027,2.086628130922434,0.12350100158270565,5.544833354271898e-65,1.526908484932624e-61,Klhl6,recombinant,both
ENSMUSG00000024789,1266.6523473018603,1.3876098280265399,0.07191918753598912,8.361762701766175e-85,9.210481615995442e-82,Jak2,virus,1266.6523473018603,0.9456128192329389,0.07447241812689863,1.574698792151317e-38,1.445442266295563e-35,Jak2,recombinant,both
ENSMUSG00000038127,2173.4790810027366,-1.3648654049905715,0.07098656242285696,2.7475886612037644e-84,2.751335373014497e-81,Ccdc50,virus,2173.4790810027366,-0.7952816261328278,0.07187190788993329,2.9700679911111845e-30,1.211677737855174e-27,Ccdc50,recombinant,both
ENSMUSG00000023927,1384.0708421783545,1.616550295869467,0.08648596616693204,2.9426152858897214e-79,2.7010756145062735e-76,Satb1,virus,1384.0708421783545,1.0280108266160657,0.08695258153313992,9.264053037747816e-34,5.102177210539609e-31,Satb1,recombinant,both
ENSMUSG00000024696,285.2723299350092,2.108888956287582,0.11435508661559059,8.147162107156553e-77,6.9031531238714944e-74,Lpxn,virus,285.2723299350092,2.211131229746338,0.11835142077610539,7.768277936945291e-79,4.278379073772619e-75,Lpxn,recombinant,both
ENSMUSG00000038467,995.6077060080529,1.1304364359646966,0.06234416619373158,2.307378157092459e-75,1.8154121714552454e-72,Chmp4b,virus,995.6077060080529,0.7809520613303765,0.06586924071670745,3.1645986756313162e-34,1.8346344427409973e-31,Chmp4b,recombinant,both
ENSMUSG00000027718,98.51422863750348,6.412362990509758,0.3529337681000585,3.3727922645098193e-75,2.4767537862383774e-72,Il21,virus,98.51422863750348,4.52722576593702,0.3587235345273009,7.048862373502887e-39,7.058474458557664e-36,Il21,recombinant,both
ENSMUSG00000034266,385.88801168009513,1.671355241133388,0.09334020030017459,6.92178054164113e-73,4.765213291636065e-70,Batf,virus,385.88801168009513,1.6312257684630052,0.10237808898848516,1.9652250293414322e-58,4.329390739639175e-55,Batf,recombinant,both
ENSMUSG00000001025,151.35076716345847,5.904183716688556,0.33025702482455144,9.829337957919745e-73,6.368832800381529e-70,S100a6,virus,151.35076716345847,4.212031487377011,0.31182041346247363,9.196562432770982e-44,1.1255570577441374e-40,S100a6,recombinant,both
ENSMUSG00000047139,105.9889321711312,3.964670286356981,0.22213247675141826,1.4226364801852601e-72,8.70574490513369e-70,Cd24a,virus,105.9889321711312,1.601639543563154,0.22367655237061285,3.244330741206773e-14,3.722531574415896e-12,Cd24a,recombinant,both
ENSMUSG00000079197,2116.9964822647557,-1.2436837220947885,0.07074857156067786,3.466524691165782e-71,2.0096720775363728e-68,Psme2,virus,2116.9964822647557,-0.8697592656722346,0.07119377068754748,4.9255371359492026e-36,3.616986103498698e-33,Psme2,recombinant,both
ENSMUSG00000001131,90.63273083543635,6.991366176720999,0.39965239952837933,3.2550028902843335e-70,1.7926928418240966e-67,Timp1,virus,90.63273083543635,4.530764721171171,0.463723768618243,6.005821934057338e-25,1.6135153317961361e-22,Timp1,recombinant,both
